LCSC,Ref,Status,Detail
C158012,J8,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=180 db=0.0 -> add: JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,180"
C144395,J3,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=180 db=0.0 -> add: JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,180"
C144395,J4,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=180 db=0.0 -> add: JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,180"
C157991,J14,ROT-DB-SUGGEST,"fit=0.08mm jlc_offset=180 db=0.0 -> add: JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,180"
C157991,J6,ROT-DB-SUGGEST,"fit=0.08mm jlc_offset=180 db=0.0 -> add: JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,180"
C125121,U10,PAD-GEOM,pad 1<->4 ours 9.53mm vs JLC 10.00mm (d0.47mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C125121,U10,ROT-DB-SUGGEST,"fit=0.23mm jlc_offset=90 db=0.0 -> add: SMDIP-4_W9.53mm,90"
C2653162,U1,ROT-DB-SUGGEST,"fit=0.06mm jlc_offset=90 db=270.0 -> add: TSSOP-14_4.4x5mm_P0.65mm,90"
C89650,F1,PAD-GEOM,pad 1<->2 ours 4.27mm vs JLC 3.70mm (d0.57mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C89650,F1,OK,fit=0.29mm jlc_offset=0 db=0.0
C5158048,D3,PAD-GEOM,pad 1<->2 ours 2.10mm vs JLC 2.40mm (d0.30mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C5158048,D3,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C5158048,D3,OK,fit=0.15mm jlc_offset=0 db=0.0
C5158048,D4,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C5158048,D4,OK,fit=0.15mm jlc_offset=0 db=0.0
C5158048,D5,PAD-GEOM,pad 1<->2 ours 2.10mm vs JLC 2.40mm (d0.30mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C5158048,D5,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C5158048,D5,OK,fit=0.15mm jlc_offset=0 db=0.0
C5158048,D6,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C5158048,D6,OK,fit=0.15mm jlc_offset=0 db=0.0
C5158048,D7,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C5158048,D7,OK,fit=0.15mm jlc_offset=0 db=0.0
C318884,SW1,PAD-GEOM,pad 1<->2 ours 3.75mm vs JLC 6.00mm (d2.25mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C318884,SW1,PAD-MISMATCH,best=none
C113974,D2,PAD-GEOM,pad 1<->2 ours 4.30mm vs JLC 4.72mm (d0.42mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C113974,D2,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C113974,D2,OK,fit=0.21mm jlc_offset=0 db=0.0
C123302,U7,ROT-DB-SUGGEST,"fit=0.10mm jlc_offset=180 db=270.0 -> add: SSOP-8_2.95x2.8mm_P0.65mm,180"
C8678,D1,PAD-GEOM,pad 1<->2 ours 4.00mm vs JLC 4.40mm (d0.40mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C8678,D1,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C8678,D1,OK,fit=0.20mm jlc_offset=0 db=0.0
C9683,U5,ROT-DB-SUGGEST,"fit=0.15mm jlc_offset=90 db=270.0 -> add: SOIC-18W_7.5x11.6mm_P1.27mm,90"
C9683,U6,ROT-DB-SUGGEST,"fit=0.15mm jlc_offset=90 db=270.0 -> add: SOIC-18W_7.5x11.6mm_P1.27mm,90"
C7519,U13,ROT-DB-SUGGEST,"fit=0.01mm jlc_offset=90 db=-90.0 -> add: SOT-23-6,90"
C7519,U14,ROT-DB-SUGGEST,"fit=0.01mm jlc_offset=90 db=-90.0 -> add: SOT-23-6,90"
C7519,U15,ROT-DB-SUGGEST,"fit=0.01mm jlc_offset=90 db=-90.0 -> add: SOT-23-6,90"
C130239,J1,MODEL-SELF,"JLC model bbox center off JLC's OWN pads by (-2.25,+5.95)mm in their frame - model-internal defect; expect the render to need an adjudicated board_dx/board_dy nudge, and distrust bbox MODEL-REG numbers for this part"
C130239,J1,ROT-DB-SUGGEST,"fit=0.10mm jlc_offset=270 db=0.0 -> add: BarrelJack_CUI_PJ-063AH_Horizontal,270"
C474892,J5,OK,fit=0.00mm jlc_offset=0 db=0.0
C474892,J10,OK,fit=0.00mm jlc_offset=0 db=0.0
C692429,J11,MIRRORED,mirror fit 0.00mm vs non-mirror 2.54mm
