LCSC,Ref,Status,Detail
C15849,C7,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C8,MODEL-REG-OK,body on courtyard (0.00mm)
C137327,R34,MODEL-REG-OK,body on courtyard (0.00mm)
C137327,R35,MODEL-REG-OK,body on courtyard (0.00mm)
C29277,C38,MODEL-REG-OK,body on courtyard (0.00mm)
C29277,C39,MODEL-REG-OK,body on courtyard (0.00mm)
C29277,C40,MODEL-REG-OK,body on courtyard (0.00mm)
C1613,C19,MODEL-REG-OK,body on courtyard (0.00mm)
C1613,C4,MODEL-REG-OK,body on courtyard (0.00mm)
C728591,R3,MODEL-REG-OK,body on courtyard (0.00mm)
C1664,C18,MODEL-REG-OK,body on courtyard (0.00mm)
C1664,C3,MODEL-REG-OK,body on courtyard (0.00mm)
C5249699,F1,MODEL-REG,"body center 5.0mm off courtyard, area ratio 0.89, incl. pad_geom_delta=6.52mm -> DO NOT blind-flip: JLC's footprint mounts this model at rot_z=0 (authoritative); body asymmetric (0.0mm bbox-center offset) so this metric is unreliable. VERIFY leads sit on pads visually; if correct, adjudicate as a false alarm with NO rotation override [MOUNT-FALLBACK: no pad correspondence exists, so this body is at JLC's OWN transform and the leads CANNOT be expected to sit on our pads — the render answers 'what does JLC's CAD look like on our board', not 'do the leads land'. Settle the land pattern against the datasheet; the picture cannot]"
C2930095,R20,MODEL-REG-OK,body on courtyard (0.00mm)
C2930095,R21,MODEL-REG-OK,body on courtyard (0.00mm)
C2930095,R22,MODEL-REG-OK,body on courtyard (0.00mm)
C23184,R15,MODEL-REG-OK,body on courtyard (0.00mm)
C23184,R6,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R16,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R37,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R38,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R39,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R40,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R41,MODEL-REG-OK,body on courtyard (0.00mm)
C23215,R7,MODEL-REG-OK,body on courtyard (0.00mm)
C404363,Q2,MODEL-REG-OK,body on courtyard (0.04mm)
C404363,Q3,MODEL-REG-OK,body on courtyard (0.04mm)
C404363,Q4,MODEL-REG-OK,body on courtyard (0.04mm)
C404363,Q5,MODEL-REG-OK,body on courtyard (0.04mm)
C2760089,Q1,MODEL-REG-OK,body on courtyard (0.06mm)
C2760089,Q6,MODEL-REG-OK,body on courtyard (0.06mm)
C78284,Q7,MODEL-REG-OK,body on courtyard (0.02mm)
C78284,Q8,MODEL-REG-OK,body on courtyard (0.02mm)
C173429,D2,MODEL-REG-OK,body on courtyard (0.00mm)
C503996,J2,MODEL-REG-OK,body on courtyard (0.37mm)
C503996,J3,MODEL-REG-OK,body on courtyard (0.37mm)
C503996,J4,MODEL-REG-OK,body on courtyard (0.37mm)
C2982822,C1,MODEL-REG-OK,body on courtyard (0.00mm)
C2982822,C2,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D10,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D11,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D12,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D9,MODEL-REG-OK,body on courtyard (0.00mm)
C2296,D8,MODEL-REG-OK,body on courtyard (0.00mm)
C13755,U11,MODEL-REG-OK,body on courtyard (0.00mm)
C13755,U2,MODEL-REG-OK,body on courtyard (0.00mm)
C408523,L1,MODEL-REG-OK,body on courtyard (0.00mm)
C408523,L2,MODEL-REG-OK,body on courtyard (0.00mm)
C83846,D1,MODEL-REG-OK,body on courtyard (0.00mm)
C113976,D5,MODEL-REG-OK,body on courtyard (0.00mm)
C6165170,F2,MODEL-REG-OK,body on courtyard (0.00mm)
C2939728,SW1,MODEL-REG-OK,body on courtyard (0.00mm)
C473910,U6,MODEL-REG-OK,body on courtyard (0.00mm)
C473910,U7,MODEL-REG-OK,body on courtyard (0.00mm)
C130056,U3,MODEL-REG-OK,body on courtyard (0.00mm)
C130056,U4,MODEL-REG-OK,body on courtyard (0.00mm)
C130056,U5,MODEL-REG-OK,body on courtyard (0.00mm)
C5337088,J5,MODEL-REG-OK,body on courtyard (0.33mm)
C7519,U10,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U12,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U8,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U9,MODEL-REG-OK,body on courtyard (0.00mm)
C98732,J1,MODEL-REG-OK,body on courtyard (0.05mm)
