21:09:52: Debug: Adding duplicate image handler for 'PNG file'
21:09:52: Debug: Adding duplicate image handler for 'JPEG file'
21:09:52: Debug: Adding duplicate image handler for 'TIFF file'
21:09:52: Debug: Adding duplicate image handler for 'GIF file'
21:09:52: Debug: Adding duplicate image handler for 'PNM file'
21:09:52: Debug: Adding duplicate image handler for 'PCX file'
21:09:52: Debug: Adding duplicate image handler for 'IFF file'
21:09:52: Debug: Adding duplicate image handler for 'Windows icon file'
21:09:52: Debug: Adding duplicate image handler for 'Windows cursor file'
21:09:52: Debug: Adding duplicate image handler for 'Windows animated cursor file'
21:09:52: Debug: Adding duplicate image handler for 'TGA file'
21:09:52: Debug: Adding duplicate image handler for 'XPM file'
assembly: 1 coded not-assembled/consigned ref(s) from 03_src/rules/assembly.yaml

bodies mounted: 174/174  ->  /home/mouse9911/gits/circuits/projects/crow-recorder-central-v2/06_build/twin_v15/missing_models.txt
C25741  R_bg2  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25741  R_pg  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_5V2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_5V3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_VINR  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_avdd2b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_avdd3b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c10  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c11  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c12  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c13  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c4  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c5  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c6  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c7  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c8  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_c9  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_d1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_d2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
